TITRE;GENRE;NATIONALITE;DEVIS;LANGUE;;
GAMIN AU VELO (LE);Fiction;Belgique/France/Italie;5 846 263,00;FR/EN;;
HALAL, POLICE D'ETAT;Fiction;France;11 069 956,00;FR/EN;;
MA PREMIERE FOIS;Fiction;France;6 188 543,00;FR/EN;;
MORGEN;Fiction;Roumanie/Hongrie/France;798 728,00;FR/EN;;
TOUTES NOS ENVIES;Fiction;France;8 487 242,00;FR/EN;;
VIERGE, LES COPTES ET MOI (LA);Documentaire;France;355 752,00;FR/EN;;
YEUX DE SA MERE (LES);Fiction;France/Belgique;7 956 490,00;FR/EN;;
AUTRE VIE DE RICHARD KEMP (L');Fiction;France;3 904 534,00;FR/EN;;
COLT 45;Fiction;France;12 804 044,00;FR/EN;;
DEGAGE !;Fiction;Tunisie/France;2 026 412,00;FR/EN;;
EPREUVE DE LA VIE (L');Fiction;France;7 570 980,00;FR/EN;;
GRAND CAHIER (LE);Fiction;Allemagne/Hongrie/Autriche/France;3 324 704,00;FR/EN;;
HYPOTHESE DU MOKELE-MBEMBE (L');Documentaire;France;66 659,00;FR/EN;;
JUGE ET L'HOMME (LA);Fiction;France;7 124 618,00;FR/EN;;
PHOTO;Fiction;France/Portugal;1 960 075,00;FR/EN;;
POUR UNE FEMME;Fiction;France;7 664 869,00;FR/EN;;
REINES DU RING (LES);Fiction;France;10 906 743,00;FR/EN;;
CLEFS DE LA MAISON (LES);Fiction;Italie/Allemagne/France;6 300 000,00;FR/EN;;
COMME SI DE RIEN N'ÉTAIT;Fiction;France;1 347 747,00;FR/EN;;
DE GUERRE LASSES;Documentaire;France;191 335,00;FR/EN;;
DEMAIN ON DEMENAGE;Fiction;Belgique/France;3 389 279,00;FR/EN;;
EQUIPIER (L');Fiction;France;7 635 899,00;FR/EN;;
FEMME DE GILLES (LA);Fiction;France/Belgique/Luxembourg;5 333 701,00;FR/EN;;
NARCO;Fiction;France;7 777 368,00;FR/EN;;
POLLUX, LE MANEGE ENCHANTE;Animation;France/Grande Bretagne;15 400 003,00;FR/EN;;
ROMANCES DE TERRE ET D' EAU;Documentaire;France;296 491,00;FR/EN;;
7 JOURS (LES);Fiction;Israel/France;995 885,00;FR/EN;;
ERREUR DE LA BANQUE EN VOTRE FAVEUR;Fiction;France;8 882 032,00;FR/EN;;
GERBOISE BLEUE;Documentaire;France;679 671,00;FR/EN;;
HERISSON (LE);Fiction;France/Italie;8 998 876,00;FR/EN;;
JCVD;Fiction;France/Belgique/Luxembourg;10 653 410,00;FR/EN;;
SAGAN;Fiction;France;2 135 973,00;FR/EN;;
UN CHAT, UN CHAT;Fiction;France;2 186 157,00;FR/EN;;
48 HEURES PAR JOUR;Fiction;France;6 006 828,00;FR/EN;;
APRÈS LA CHUTE;Fiction;France/Allemagne;240 001,00;FR/EN;;
KHAMSA;Fiction;France;2 119 984,00;FR/EN;;
NUIT TRANSFIGURÉE (LA);Fiction;France;235 243,00;FR/EN;;
PETIT ROI MACIUS (LE);Animation;Allemagne/France/Pologne;2 954 355,00;FR/EN;;
SEGO ET SARKO SONT DANS UN BATEAU…;Documentaire;France;310 421,00;FR/EN;;
SUNNY ET L'ELEPHANT;Fiction;France;6 610 000,00;FR/EN;;
3 AMIS;Fiction;France;8 828 589,00;FR/EN;;
CAPITAINE ACHAB;Fiction;France/Suede;2 369 799,00;FR/EN;;
CAVALIERS SEULS;Documentaire;France;947 525,00;FR/EN;;
FUNNY GAMES U.S.;Fiction;France/Allemagne/Italie;9 650 372,00;FR/EN;;
HOMME QUI MARCHE (L');Fiction;France;1 156 639,00;FR/EN;;
NORD-PARADIS;Documentaire;France;507 193,00;FR/EN;;
ALL GOOD CHILDREN;Fiction;Irlande/Belgique/France;2 300 850,00;FR/EN;;
CHEVAL DE TURIN (LE);Fiction;Hongrie/Allemagne/France/Suisse;1 770 000,00;FR/EN;;
FAMILLE WOLBERG (LA);Fiction;France/Belgique;1 800 233,00;FR/EN;;
INFILTRATION;Fiction;Israel/France;1 767 586,00;FR/EN;;
JE VEUX VOIR;Documentaire;France;345 278,00;FR/EN;;
UN BALCON SUR LA MER;Fiction;France;12 376 791,00;FR/EN;;
AKOIBON;Fiction;France;3 753 079,00;FR/EN;;
DE BATTRE MON CŒUR S'EST ARRETE;Fiction;France;5 301 216,00;FR/EN;;
Au nom de la terre;Fiction;France;5 370 351,00;FR/EN;;
Bonnet de Modibo (Le);Fiction;France/Burkina Faso;249 098,00;FR/EN;;
Dernier amour;Fiction;France;6 490 604,00;FR/EN;;
Etre vivant et le savoir;Fiction;France;288 862,00;FR/EN;;
Frontière (La);Fiction;Belgique/France;2 913 846,00;FR/EN;;
Justice en cours;Docu;France;954 045,00;FR/EN;;
Mektoub, my love : Intermezzo;Fiction;France;5 448 394,00;FR/EN;;
Merveilles à Montfermeil;Fiction;France;1 824 689,00;FR/EN;;
Mon frère;Fiction;France;2 654 945,00;FR/EN;;
Mon inconnue;Fiction;France;7 165 979,00;FR/EN;;
On a 20 ans pour changer le monde;Docu;France;255 817,00;FR/EN;;
Smiley;Fiction;France;5 436 016,00;FR/EN;;
Embarras du choix (L');Fiction;France;7 961 713,00;FR/EN;;
Full frontal;Fiction;France;1 202 915,00;FR/EN;;
Howard Zinn une histoire populaire américaine 2ème partie;Docu;France;94 793,00;FR/EN;;
Kairos, le moment opportun;Fiction;France/Colombie;350 000,00;FR/EN;;
Kings;Fiction;France/Belgique;9 967 694,00;FR/EN;;
Larguées;Fiction;France;7 051 071,00;FR/EN;;
Premières vacances;Fiction;France;5 011 192,00;FR/EN;;
Tout là-haut;Fiction;France;10 424 395,00;FR/EN;;
Un couteau dans le cœur;Fiction;France;3 040 207,00;FR/EN;;
20 ans après - histoire d'une délibération;Docu;France;298 136,00;FR/EN;;
Clichy kids;Docu;France;226 063,00;FR/EN;;
Django Melodies;Fiction;France;8 804 249,00;FR/EN;;
Filles de Reims (Les);Fiction;France;4 015 773,00;FR/EN;;
Game girls;Docu;France/Allemagne;417 847,00;FR/EN;;
Invitation (L');Fiction;France;2 946 810,00;FR/EN;;
Tout nous sépare;Fiction;France;3 598 046,00;FR/EN;;
Vie de château (La);Fiction;France;1 004 228,00;FR/EN;;
Chamboultout;Fiction;France;9 305 162,00;FR/EN;;
Chambre (La) (The room);Fiction;France/Luxembourg/Belgique;4 203 151,00;FR/EN;;
Divorce club;Fiction;France;7 996 469,00;FR/EN;;
Domingo;Fiction;Brésil/France;772 000,00;FR/EN;;
Extraordinaire voyage de Marona (L');Anim;France/Roumanie/Belgique;2 546 140,00;FR/EN;;
Frankie;Fiction;France/Portugal;2 261 992,00;FR/EN;;
J'aime mon patron;Docu;France;72 483,00;FR/EN;;
Joueurs;Fiction;France;3 415 547,00;FR/EN;;
Monsieur;Docu;France;517 034,00;FR/EN;;
Oiseau de paradis (L');Fiction;France;1 184 009,00;FR/EN;;
Paris calligrammes;Docu;Allemagne/France;726 861,00;FR/EN;;
Saint inconnu;Fiction;Maroc/France;710 602,00;FR/EN;;
Sauver ou périr;Fiction;France;6 490 690,00;FR/EN;;
Un grand voyage vers la nuit;Fiction;Chine/France;4 242 367,00;FR/EN;;
Vetos (Les);Fiction;France;6 462 774,00;FR/EN;;
Brio (Le);Fiction;France;9 729 038,00;FR/EN;;
Revanche d'Icare (La);Docu;France/Belgique;3 100 070,00;FR/EN;;
Ricordi ?;Fiction;Italie/France;3 722 405,00;FR/EN;;
Sunset;Fiction;Hongrie/France;8 929 320,00;FR/EN;;
Usine (L');Fiction;Russie/France/Armenie;1 208 259,00;FR/EN;;
Ascension (L');Fiction;France;5 591 255,00;FR/EN;;
Chouquette;Fiction;France;5 780 446,00;FR/EN;;
Ex (Les);Fiction;France;5 800 930,00;FR/EN;;
Femme de mon oncle grec (La);Docu;France/Grèce;220 850,00;FR/EN;;
Gangsterdam;Fiction;France;13 522 622,00;FR/EN;;
Insulte (L');Fiction;France/Liban;2 405 039,00;FR/EN;;
Jeune femme;Fiction;France/Belgique;992 318,00;FR/EN;;
Links of life;Fiction;France;504 000,00;FR/EN;;
Nos années folles;Fiction;France;6 486 007,00;FR/EN;;
Otez-moi d'un doute;Fiction;France/Belgique;5 201 788,00;FR/EN;;
Rire de ma mère (Le);Fiction;France/Belgique;2 771 299,00;FR/EN;;
Telle mère, telle fille;Fiction;France;6 681 700,00;FR/EN;;
EN CE TEMPS LA, L'AMOUR;Fiction;France;186 642,00;FR/EN;;
FRATRICIDE;Fiction;Allemagne/Luxembourg/France;1 289 347,00;FR/EN;;
OUBLIER CHEYENNE;Fiction;France;1 254 509,00;FR/EN;;
PARFUM DE LA DAME EN NOIR (LE);Fiction;France;8 061 897,00;FR/EN;;
PONT DU ROI SAINT-LOUIS (LE);Fiction;Grande Bretagne/Espagne/France;21 660 448,00;FR/EN;;
QUARTIER VIP;Fiction;France;3 845 850,00;FR/EN;;
RENAISSANCE;Animation;France/Grande Bretagne/Luxembourg;14 034 938,00;FR/EN;;
AMOURS D'ASTRÉE ET DE CÉLADON (LES);Fiction;France/Italie/Espagne;2 500 000,00;FR/EN;;
CAGES;Fiction;Belgique/France;1 995 380,00;FR/EN;;
DANSE AVEC LUI;Fiction;France;8 877 476,00;FR/EN;;
GUSTA EL CHILE ? (LE);Fiction;Espagne/Italie/Mexique/France;3 284 301,00;FR/EN;;
SATURNO CONTRO;Fiction;Italie/France/Turquie;5 785 000,00;FR/EN;;
UN CHÂTEAU EN ESPAGNE;Fiction;France;7 494 269,00;FR/EN;;
Conversation animée avec Noam Chomsky;Anim;France;0,35;FR/EN;;
Cosmos;Fiction;France/Portugal;1,65;FR/EN;;
D'amour et de dettes;Fiction;Espagne/France;1,02;FR/EN;;
En mai fais ce qu'il te plaît;Fiction;France;15,18;FR/EN;;
Enfants valises;Docu;France;0,13;FR/EN;;
Entre amis - valse politique à Bruxelles;Docu;Allemagne/France;0,71;FR/EN;;
Goût des merveilles (Le);Fiction;France;5,82;FR/EN;;
Histoire de Judas Iscariote;Fiction;France/Algérie;2,23;FR/EN;;
On voulait tout casser;Fiction;France;9,38;FR/EN;;
Paris Willoughby;Fiction;France;4;FR/EN;;
Souvenirs (Les);Fiction;France/Belgique;5,34;FR/EN;;
Submersion;Fiction;France;0,84;FR/EN;;
Yzkor;Fiction;France/Canada;2,59;FR/EN;;
Zugzwang;Fiction;France;2,99;FR/EN;;
CONTRE TOI;Fiction;France;3 208 990,00;FR/EN;;
DHARMA GUNS;Fiction;France/Portugal;1 829 900,00;FR/EN;;
ENSEMBLE, NOUS ALLONS VIVRE UNE TRES, TRES GRANDE HISTOIRE D'AMOUR…;Fiction;France;7 029 543,00;FR/EN;;
FATAL;Fiction;Canada/France;14 054 624,00;FR/EN;;
ILLUSIONES OPTICAS;Fiction;Chili/France;532 274,00;FR/EN;;
INSOUPCONNABLE;Fiction;France/Suisse;4 067 783,00;FR/EN;;
MAINS LIBRES (LES);Fiction;France;1 638 050,00;FR/EN;;
NOUS TROIS;Fiction;France/Luxembourg;6 069 912,00;FR/EN;;
POTICHE;Fiction;France/Belgique;11 305 072,00;FR/EN;;
REINE DES POMMES (LA);Fiction;France;470 648,00;FR/EN;;
SQUAT, LA VILLE EST A NOUS;Documentaire;France;284 829,00;FR/EN;;
SWEET VALENTINE;Fiction;France;1 689 467,00;FR/EN;;
VERTIGE;Fiction;France;2 373 778,00;FR/EN;;
VIVA RIVA !;Fiction;France/Belgique;2 302 163,00;FR/EN;;
360;Fiction;Grande Bretagne/Autriche/France/Bresil;10 923 517,00;FR/EN;;
4ÈME COMPAGNIE (LA);Fiction;Mexique/France;2 545 159,00;FR/EN;;
AIR DE RIEN (L');Fiction;France;960 346,00;FR/EN;;
DO NOT DISTRUB;Fiction;France;8 808 048,00;FR/EN;;
INVISIBLES (LES);Documentaire;France;512 806,00;FR/EN;;
MAUVAISE FILLE;Fiction;France;5 202 860,00;FR/EN;;
PARADIS DES BETES (LE);Fiction;France;1 603 914,00;FR/EN;;
PIROGUE (LA);Fiction;France/Senegal;2 269 622,00;FR/EN;;
RADIOSTARS;Fiction;France;5 453 619,00;FR/EN;;
SACRE GRA;Documentaire;Italie/France;764 825,00;FR/EN;;
SERMENT DE TOBROUK (LE);Documentaire;France;976 852,00;FR/EN;;
VEAU D'OR (LE);Fiction;France/Maroc;1 736 651,00;FR/EN;;
Batarde;Fiction;France;2441243;FR/EN;;
Cent annees de pardon;Fiction;Esp/France;3675000;FR/EN;;
Dernier Jour d'Yitzhak Rabin (Le);Fiction;France/Israël;3653429;FR/EN;;
Dernière Leçon (La);Fiction;France;5348214;FR/EN;;
Mer morte (la);Fiction;Allemagne/Israël/France;1650540;FR/EN;;
Nomades;Fiction;France/Maroc;838814;FR/EN;;
Œil du cyclone (L');Fiction;France/Burkina Faso;795184;FR/EN;;
Past in the Present;Docu;France/Suisse;755760;FR/EN;;
Primaire;Fiction;France;4694063;FR/EN;;
Taj Mahal;Fiction;France;5892835;FR/EN;;
Un début prometteur;Fiction;France/Belgique;3977716;FR/EN;;
AVANT-POSTE;Fiction;France;1 027 953,00;FR/EN;;
BABY BLUES;Fiction;France;4 332 730,00;FR/EN;;
COCO CHANEL & IGOR STRAVINSKY;Fiction;France;12 008 921,00;FR/EN;;
HOME SWEET HOME;Fiction;France;2 253 708,00;FR/EN;;
IL DIVO;Fiction;Italie/France;4 485 299,00;FR/EN;;
JE SUIS HEUREUX QUE MA MÈRE SOIT VIVANTE;Fiction;France;4 255 932,00;FR/EN;;
KURDISH LOVER;Documentaire;France;524 742,00;FR/EN;;
NUIT BLEUE;Fiction;France;1 156 371,00;FR/EN;;
NULLE PART TERRE PROMISE;Fiction;France;676 954,00;FR/EN;;
PARIS NORD SUD;Fiction;France;424 927,00;FR/EN;;
PLEIN SUD;Fiction;France;1 380 491,00;FR/EN;;
TELLEMENT PROCHES;Fiction;France;8 607 251,00;FR/EN;;
AU BISTRO DU COIN;Fiction;France;4 876 243,00;FR/EN;;
DERNIERE SEANCE;Fiction;France;1 528 798,00;FR/EN;;
LET MY PEOPLE GO !;Fiction;France;3 987 263,00;FR/EN;;
LOVE AND BRUISES;Fiction;France;2 991 869,00;FR/EN;;
MAIS Y VA OU LE MONDE ?;Fiction;France;466 210,00;FR/EN;;
ŒIL INVISIBLE (L');Fiction;Argentine/France/Espagne;902 232,00;FR/EN;;
PHILIBERT;Fiction;France;12 046 042,00;FR/EN;;
TERRE OUTRAGEE (LA);Fiction;France/Allemagne/Pologne;3 900 989,00;FR/EN;;
THE ARTIST;Fiction;France;13 473 753,00;FR/EN;;
ATTILA MARCEL;Fiction;France;7 159 867,00;FR/EN;;
BOVINES OU LA VRAIE VIE DES VACHES;Documentaire;France;175 993,00;FR/EN;;
DZMA;Fiction;France/Georgie;988 736,00;FR/EN;;
EYJAFJALLOJOKULL;Fiction;France;23 129 213,00;FR/EN;;
GAMINS (LES);Fiction;France;9 503 602,00;FR/EN;;
GRANDE BOUCLE (LA);Fiction;France;14 077 229,00;FR/EN;;
INSIDE OUT;Documentaire;France;1 167 353,00;FR/EN;;
JASMINE;Animation;France;714 640,00;FR/EN;;
PIECE MANQUANTE (LA);Fiction;France;1 087 885,00;FR/EN;;
AUBE DU MONDE (L');Fiction;France/Allemagne;1 453 759,00;FR/EN;;
CASTIGO;Fiction;France;654 390,00;FR/EN;;
CLEF (LA);Fiction;France;7 580 649,00;FR/EN;;
MADE IN ITALY;Fiction;France;4 290 700,00;FR/EN;;
MASCARADES;Fiction;France;1 150 200,00;FR/EN;;
SEULS TWO;Fiction;France;18 395 090,00;FR/EN;;
VERSAILLES;Fiction;France;2 604 046,00;FR/EN;;
WHITE MATERIAL;Fiction;France;6 300 480,00;FR/EN;;
Auschwitz-les-Bains;Fiction;France;5,61;FR/EN;;
Grande Séduction (La);Fiction;France;7,17;FR/EN;;
La répudiation;Fiction;France/Allemagne/Israël;2,33;FR/EN;;
On a failli être amies;Fiction;France;5,41;FR/EN;;
Rue des cités;Fiction;France;0,29;FR/EN;;
Voyage vers la mère;Fiction;Russie/France;1,16;FR/EN;;
ANGES EXTERMINATEURS (LES);Fiction;France;1 300 000,00;FR/EN;;
AVIDA;Fiction;France;1 103 546,00;FR/EN;;
OFFSET;Fiction;Allemagne/France/Suisse;2 150 000,00;FR/EN;;
QUATRE ETOILES;Fiction;France;8 902 497,00;FR/EN;;
SERKO;Fiction;France/Russie;2 802 890,00;FR/EN;;
VIVE LA VIE;Fiction;France;4 800 561,00;FR/EN;;
EN ATTENDANT LE DELUGE;Fiction;France;1 002 447,00;FR/EN;;
J'ME SENS PAS BELLE;Fiction;France;1 301 956,00;FR/EN;;
NOTRE MUSIQUE;Fiction;France/Suisse;3 001 478,00;FR/EN;;
SILENCE (LE);Fiction;France;2 215 372,00;FR/EN;;
UN CIEL ÉPICÉ;Fiction;Grece/France;1 513 000,00;FR/EN;;
Flesh out;Docu;Italie/France;575 742,00;FR/EN;;
Frères d'arme;Fiction;France;785 759,00;FR/EN;;
Haut perchés;Fiction;France;351 267,00;FR/EN;;
Photograph-women;Docu;France/Belgique/Italie;462 982,00;FR/EN;;
Tijuana bible;Fiction;France;1 582 453,00;FR/EN;;
Un divan à Tunis;Fiction;France;1 992 317,00;FR/EN;;
Une fille facile;Fiction;France;2 684 638,00;FR/EN;;
Versus;Fiction;France;425 363,00;FR/EN;;
Ce qu'il nous reste de la révolution;Fiction;France;468 706,00;FR/EN;;
Colle (La);Fiction;France/Belgique;3 520 521,00;FR/EN;;
Danse, l'Afrique danse;Docu;France;832 995,00;FR/EN;;
Du soleil dans mes yeux;Fiction;France;804 052,00;FR/EN;;
Duelles;Fiction;Belgique/France;3 991 649,00;FR/EN;;
Echange des princesses (L');Fiction;Belgique/France;9 449 926,00;FR/EN;;
Incident à Ghost Land;Fiction;Canada/France;5 180 728,00;FR/EN;;
Jalouse;Fiction;France;6 344 688,00;FR/EN;;
Jour où j'ai perdu mon ombre (Le);Fiction;Liban/France;593 700,00;FR/EN;;
Nos vies formidables;Fiction;France;364 452,00;FR/EN;;
Passed by Censor;Fiction;Turquie/Allemagne/France;620 338,00;FR/EN;;
Petra;Fiction;Espagne/France/Danemark;1 760 831,00;FR/EN;;
Rainbow;Fiction;Italie/France;3 000 000,00;FR/EN;;
Sofia;Fiction;France;1 143 111,00;FR/EN;;
The Dishwasher;Fiction;Belgique/France;2 615 538,00;FR/EN;;
The man who killed Don Quixote;Fiction;Espagne/Belgique/Portugal/France;15 604 804,00;FR/EN;;
A Prayer before Dawn;Fiction;France;1 720 230,00;FR/EN;;
Avril et Djam;Fiction;France/Grèce/Turquie;2 487 169,00;FR/EN;;
Evolution;Fiction;France/Espagne;2 400 135,00;FR/EN;;
Niaque (La);Fiction;France;2 754 814,00;FR/EN;;
Rocco;Docu;France;896 953,00;FR/EN;;
Sel;Docu;France/Belgique;192 812,00;FR/EN;;
Antropoïd;Fiction;Rep Tcheq/Grande Bretagne/France;8 876 089,00;RUS/EN/FR;;
Neruda;Fiction;Arg/Chili/France/Espagne;3 693 829,00;ESP/FR;;
Seara de vento;Fiction;Portugal/France;1 177 500,00;FR/POR;;
FRERES;Fiction;France;994 424,00;FR;;
MAINS VIDES (LES);Fiction;Espagne/France;2 350 000,00;ESP/FR;;
MICHEL STROGOFF;Animation;France;3 500 892,00;FR;;
NUIT DE LA VERITE (LA);Fiction;France/Burkina Faso;1 212 903,00;FR;;
SUPERNOVA (EXPERIENCE # 1);Fiction;France;904 408,00;FR/EN;;
A LONG WAY FROM HOME;Fiction;Grande Bretagne/France;696 939,00;FR/EN;;
BANANOT;Fiction;Israel/France;1 964 174,00;FR/EN;;
CONQUERANTS (LES);Fiction;France/Belgique;2 961 568,00;FR/EN;;
DERNIER DES INJUSTES (LE);Documentaire;France/Autriche;2 087 923,00;FR/EN;;
EN SOLITAIRE;Fiction;France/Belgique/Espagne;16 987 760,00;FR/EN;;
ENTRE LES BRAS, LA CUISINE EN HERITAGE;Documentaire;France;362 466,00;FR/EN;;
GRAND DEPART (LE);Fiction;France;3 997 649,00;FR/EN;;
GRAND RETOURNEMENT (LE);Fiction;France;508 040,00;FR/EN;;
HOTEL DU PARADIS;Fiction;France;227 091,00;FR/EN;;
JE TE SURVIVRAI;Fiction;Belgique/France;1 662 127,00;FR/EN;;
MONSIEUR DELACOUR;Fiction;Roumanie/France;1 000 000,00;FR/EN;;
NOS HEROS SONT MORTS CE SOIR;Fiction;France;3 180 382,00;FR/EN;;
PHANTOM BOY;Animation;France/Belgique;3 998 949,00;FR/EN;;
PHENIX ADAGIO;Documentaire;France;501 943,00;FR/EN;;
STRATEGIE DE LA POUSSETTE (LA);Fiction;France;5 157 198,00;FR/EN;;
VRAIE VIE DES PROFS (LA);Fiction;France;5 315 858,00;FR/EN;;
10 JOURS EN OR;Fiction;France;6 321 061,00;FR/EN;;
BELLE DU SEIGNEUR;Fiction;Luxembourg/France/Allemagne/Belgique;7 199 462,00;FR/EN;;
CHEVAUX DE DIEU (LES);Fiction;France/Maroc/Belgique;3 353 237,00;FR/EN;;
FILS DU MARCHAND D'OLIVES (LE);Documentaire;France;62 348,00;FR/EN;;
GIGOLA;Fiction;France;4 930 369,00;FR/EN;;
POURQUOI TU PLEURES ?;Fiction;France;3 271 879,00;FR/EN;;
RENOIR;Fiction;France;5 996 937,00;FR/EN;;
RIZIÈRE (LA);Fiction;France;669 012,00;FR/EN;;
SHADOW DANCER;Fiction;Grande Bretagne/Irlande/France;5 655 531,00;FR/EN;;
SHANGHAÏ-BELLEVILLE;Fiction;France;1 759 095,00;FR/EN;;
TANGO LIBRE;Fiction;Belgique/Luxembourg/France;3 998 500,00;FR/EN;;
VOISINS DE DIEU (LES);Fiction;France/Israel;381 504,00;FR/EN;;
WOULD YOU HAVE SEX WITH AN ARAB ?;Documentaire;France;425 365,00;FR/EN;;
WRONG;Fiction;France;1 701 150,00;FR/EN;;
CLOCHE A SONNE (LA);Fiction;France;8 257 211,00;FR/EN;;
DERNIER JOUR (LE);Fiction;France;2 195 974,00;FR/EN;;
JE PREFERE QU'ON RESTE AMIS;Fiction;France;5 327 973,00;FR/EN;;
JOYEUX NOEL;Fiction;France/Allemagne/Grande Bretagne/Belgique/Roumanie;18 151 814,00;FR/EN;;
MA VIE EN L'AIR;Fiction;France;5 050 133,00;FR/EN;;
PAPA;Fiction;France;4 597 923,00;FR/EN;;
PASSAGER (LE);Fiction;France;1 266 503,00;FR/EN;;
PISTE (LA);Fiction;France/Grande Bretagne/Afrique Du Sud/namibie/Italie;16 667 864,00;FR/EN;;
QUATRIÈME MORCEAU DE LA FEMME COUPÉE EN TROIS (LE);Fiction;France;1 705 142,00;FR/EN;;
TEXTILES (LES);Fiction;France;545 418,00;FR/EN;;
TRAVAUX ON SAIT QUAND CA COMMENCE…;Fiction;France/Grande Bretagne;4 693 798,00;FR/EN;;
TU VAS RIRE MAIS JE TE QUITTE;Fiction;France;5 272 882,00;FR/EN;;
VOLEM RIEN FOUTRE AL PAIS;Documentaire;France;441 415,00;FR/EN;;
CŒUR ANIMAL;Fiction;Suisse/France;1 001 305,00;FR/EN;;
COMME LES CINQ DOIGTS DE LA MAIN;Fiction;France;8 853 520,00;FR/EN;;
COURSIER;Fiction;France;9 410 932,00;FR/EN;;
DONNANT DONNANT;Fiction;France;12 021 424,00;FR/EN;;
HAPPY FEW;Fiction;France;3 602 190,00;FR/EN;;
HUMAN ZOO;Fiction;France;4 030 345,00;FR/EN;;
IMMORTEL (L');Fiction;France;19 996 567,00;FR/EN;;
PROPRIETE INTERDITE;Fiction;France;2 248 105,00;FR/EN;;
RENDEZ-VOUS AVEC UN ANGE;Fiction;France;2 823 903,00;FR/EN;;
SOMBRAS (LES OMBRES);Documentaire;France/Espagne/Belgique;784 708,00;FR/EN;;
TOUT CE QUI BRILLE;Fiction;France;6 597 287,00;FR/EN;;
BANLIEUE 13 - ULTIMATUM;Fiction;France;15 500 591,00;FR/EN;;
BAS-FONDS;Fiction;France;1 233 128,00;FR/EN;;
BONHEUR DE PIERRE (LE);Fiction;Canada/France;5 168 667,00;FR/EN;;
C'EST ICI QUE JE VIS;Fiction;Espagne/France;1 974 000,00;FR/EN;;
FAIS-MOI PLAISIR !;Fiction;France;3 399 000,00;FR/EN;;
HADEWIJCH;Fiction;France;3 400 338,00;FR/EN;;
INCOGNITO;Fiction;France/Belgique;9 449 740,00;FR/EN;;
J'AIMERAIS PARTAGER LE PRINTEMPS AVEC QUELQU'UN;Documentaire;France;33 346,00;FR/EN;;
NEUILLY SA MERE !;Fiction;France;4 992 294,00;FR/EN;;
REGRETS (LES);Fiction;France;3 700 227,00;FR/EN;;
TEMPS QU'IL RESTE (LE );Fiction;France/Belgique/Italie;4 794 052,00;FR/EN;;
TRANSPORTEUR 3 (LE);Fiction;France;30 446 297,00;FR/EN;;
CHACUN SA NUIT;Fiction;France/Danemark;1 003 897,00;FR/EN;;
CONGO RIVER AU-DELA DES TENEBRES;Documentaire;Belgique/France;1 609 359,00;FR/EN;;
ENFANTS DU PAYS (LES);Fiction;France;5 167 119,00;FR/EN;;
ENTRE SES MAINS;Fiction;France/Belgique;5 335 000,00;FR/EN;;
FAIR PLAY;Fiction;France/Belgique/Republique Tcheque;5 328 029,00;FR/EN;;
IRREDUCTIBLES (LES);Fiction;France;3 663 560,00;FR/EN;;
J'AURAIS VOULU ETRE UN DANSEUR;Fiction;Belgique/Luxembourg/France/Grande Bretagne;5 332 600,00;FR/EN;;
OLE!;Fiction;France;13 502 569,00;FR/EN;;
PRÉSIDENT;Fiction;France;5 970 310,00;FR/EN;;
SEPT ANS;Fiction;France;771 459,00;FR/EN;;
Comme un avion;Fiction;France;3,75;FR/EN;;
Entre amis;Fiction;France;12,56;FR/EN;;
Incomprise (L');Fiction;Italie/France;1,77;FR/EN;;
Machin/machine;Fiction;France;3,86;FR/EN;;
No gazaran;Docu;France;0,14;FR/EN;;
On a marché sur Bangkok;Fiction;France;9,53;FR/EN;;
Origine de la violence (L');Fiction;France/Allemagne;3,14;FR/EN;;
Sarah Maldoror;Docu;France;0,27;FR/EN;;
Vulcania;Fiction;Espagne/Suède/France;1,53;FR/EN;;
1001 grammes;Fiction;Norvège/Allemagne/France;3,54;FR/EN;;
Cour de Babel (La);Docu;France;0,4;FR/EN;;
Dernier Diamant (Le);Fiction;France/Belgique/Luxembourg;11,57;FR/EN;;
Esto es lo que hay;Docu;France;0,52;FR/EN;;
Lili Rose;Fiction;France;0,57;FR/EN;;
Mante religieuse (La);Fiction;France;2,09;FR/EN;;
The Lady in portrait;Fiction;Chine/France;5,21;FR/EN;;
Vie sauvage;Fiction;France/Belgique;5,34;FR/EN;;
BIEN-AIMES (LES);Fiction;France/Grande Bretagne/Republique Tcheque;6 814 038,00;FR/EN;;
IMPUNITE;Documentaire;France/Suisse;648 765,00;FR/EN;;
JOUR DES CORNEILLES (LE);Animation;France/Luxembourg/Canada/Belgique;6 600 000,00;FR/EN;;
LIGNE DROITE (LA);Fiction;France;6 857 823,00;FR/EN;;
MONSIEUR PAPA;Fiction;France;9 737 805,00;FR/EN;;
Caravage (Le);Docu;France;231366;FR/EN;;
Cœur regulier (le);Fiction;Belgique/France/Canada;2504278;FR/EN;;
Dofus livre I : Julith;Anim;France;6500049;FR/EN;;
